Each;search;id;author;year;journal;title;select;species;strain;strainGrouped;origin;sex;model;mTime;mTimeStart;mTimeEnd;mHours;mHoursAve;mCage;mCageGrouped;mLD;mLDGrouped;mRepetition;mControlGrouped;mDetails;hit2Grouped;hit2Ccomment;nest;testAuthor;testAuthorGrouped;waterTcate;waterT;testDetail;testLength;testHab;testLD;testLDGrouped;ageRange;ageWeek;exclude;varAuthor;varAuthorGrouped;freezingType;retentionInMin;retention;retentionGrouped;direction;directionGrouped;directionAnalysis;dataFrom;effectSizeCorrection;cut_nC;n_notRetriev;nC;meanC;sdC;seC;nE;meanE;sdE;seE;dataType;seqGeneration;baseline;allocation;housing;blindExp;control;outAss;outBlind;incData;;
2338;W;113891;"Sampath, D; Vaishnavi, S; Durgalakshmi, R; Kutty, BM; Laxmi, TR";2010;CURRENT SCIENCE;Long-term effects of early maternal separation and isolation stress on adulthood behaviour of female rats;1;rat;wistar;wistar;B;F;I;P5-P7;5;7;6;6;NC;NC;pL;L;RP;AFR;;0;light/dark test + coulbourn test 2 days before;a;passive avoidance;shuttleBox;notApplicable;notApplicable;experiment performed in the same chamber as light/dark test. Rat introduced into light compartment facing away from the door. Day 1: habituation 3min. 30s habituation to light, after animal completely in  dark compartment, door shut. Called this pre-unconditioned stimulus. Day 2: training. Rat introduced in light compartment for30s exploration. After 15s from the complete entry of the rat int he dark compartment, the door was shut. After 3 seconds, constant .5mA current was delivered for 1s. Activity measured post-UC for the next 2 min. Total amount session 3min. Day3: test phase. Scored latency to enter the dark;;;pL;L;P65;10;;entry latency;latencyEntry;notApplicable;;notApplicable;notApplicable;unclear;notApplicable;ANOVA;ruler;;;;10;203;;63;14;147;;37;count;NS;Y;NS;NS;NS;Y;NS;NS;NS;;
2338;W;113891;"Sampath, D; Vaishnavi, S; Durgalakshmi, R; Kutty, BM; Laxmi, TR";2010;CURRENT SCIENCE;Long-term effects of early maternal separation and isolation stress on adulthood behaviour of female rats;1;rat;wistar;wistar;B;F;I;P5-P7;5;7;6;6;NC;NC;pL;L;RP;AFR;;;;a;light/dark test;LDBox;;;animals placed in light for 10s, then door opened;NS;;pL;L;P61;9;1;amount transitions;transitions;notApplicable;;notApplicable;;decrease;decrease;ANOVA;ruler;;;;8;263;;50;8;202;;22;count;NS;NS;NS;NS;NS;Y;NS;NS;NS;;
8978;P;114190;Ikeda Y, Takano N, Matsushita H, Shiraki Y, Koide T, Nagashima R, Fujimura Y, Shindo M, Suzuki S, Iwasaki T.;1979;Arzneimittelforschung;Pharmacological studies on a new thymoleptic antidepressant, 1-[3-(dimethylamino)propyl]-5-methyl-3-phenyl-1H-indazole (FS-32).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8979;P;116271;Schiørring E.;1979;Psychopharmacology (Berl);Social isolation and other behavioral changes in groups of adult vervet monkeys (Cercopithecus aethiops) produced by low, nonchronic doses of d-amphetamine.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4997;W;118473;"VILLESCAS, R; ZAMENHOF, S; GUTHRIE, D";1979;PHYSIOLOGY & BEHAVIOR;EFFECTS OF EARLY STRESS AND UNDERNUTRITION ON THE BEHAVIOR OF YOUNG-ADULT RATS AND THE CORRELATIONS BETWEEN BEHAVIORAL AND BRAIN PARAMETERS;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9081;P;135265;Kreiskott H, Hofmann HP.;1975;Pharmakopsychiatr Neuropsychopharmakol;Stimulation of a specific drive (predatory behaviour) by p-chlorophenylalanine (pCPA) in the rat.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9047;P;136664;Malick JB, Barnett A.;1976;Pharmacol Biochem Behav;The role of serotonergic pathways in isolation-induced aggression in mice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8981;P;155479;Poshivalov VP.;1979;Biull Eksp Biol Med;[Analysis of the effect of phenamine, L-DOPA and parachlorophenylalanine on the zoo-social behavior of isolated mice].;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8982;P;159457;Kanwar YS, Farquhar MG.;1979;Proc Natl Acad Sci U S A;Isolation of glycosaminoglycans (heparan sulfate) from glomerular basement membranes.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9082;P;168192;Somers DG, Pearson ML, Ingles CJ.;1975;J Biol Chem;Isolation and characterization of an alpha-amanitin-resistant rat myoblast mutant cell line possessing alpha-amanitin-resistant RNA polymerase II.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9083;P;177995;Monti JM, Carlini EA.;1975;Pharmacol Biochem Behav;Spontaneous behavior and sleep-wakefulness cycle in isolated and paired REM sleep deprived-marihuana treated rats.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9084;P;180914;Profeta ML.;1975;Ann Sclavo;Anti-neuraminidase antibody response in hamsters experimentally infected with Sendai virus.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9048;P;185420;Gunther M, May P.;1976;J Virol;Isolation and structural characterization of monomeric and dimeric forms of replicative intermediates of Kilham rat virus DNA.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9049;P;187582;Mutoh S, Funakoshi I, Yamashina I.;1976;J Biochem;The isolation and characterization of glycopeptides and mucopolysaccharides from plasma membranes of an ascites hepatoma, AH 130 FN.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9026;P;190593;Okada N, Shindo-Okada N, Nishimura S.;1977;Nucleic Acids Res;Isolation of mammalian tRNAAsp and tRNATyr by lectin-Sepharose affinity column chromatography.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9027;P;193767;Kobayashi M, Kawamura K, Gotoh Y, Sano H, Hiraishi K.;1977;Nihon Yakurigaku Zasshi;[Effects of several catecholamine-related drugs on aggressive behavior, brain noradrenaline content and tyramine uptake by isolated mice].;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9028;P;199382;Müller P, Baggio G, Barth HO, Wieland H, Anari M, Seidel D.;1977;Clin Chim Acta;Isolation and characterization of lipoprotein-X from the pig.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9029;P;199952;Choo KH, Cotton RG.;1977;Somatic Cell Genet;Genetics of the mammalian phenylalanine hydroxylase system: I. Isolation of phenylalanine hydroxylase-deficient tyrosine auxotrophs from rat hepatoma cells.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8983;P;220652;Matte AC.;1979;Psychopharmacology (Berl);A method of quantitating aggressive behaviour revealing possible dissociation of motor activity and aggression.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9085;P;240852;Lumeng L, Li TK.;1975;J Biol Chem;Characterization of the pyridoxal 5'-phosphate and pyridoxamine 5'-phosphate hydrolase activity in rat liver. Identity with alkaline phosphatase.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9001;P;284564;Golda V, Cerman J, Suba P, Votruba M.;1978;Sb Ved Pr Lek Fak Karlovy Univerzity Hradci Kralove;Effects of isolation in male and female rats: shock-elicited behaviour, pellets, water and saline intake, plasma and brain biochemistry and organ weights.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8984;P;368517;Pollack RE, Kopelovich L.;1979;Methods Achiev Exp Pathol;The cytoskeleton in cultured cells: coordinate in vitro regulation of cell growth and shape.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9030;P;404650;Hefco V, Artenie V.;1977;Physiologie;The hypothalamus and protein metabolism in rats.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9002;P;417373;Weinstock M, Speiser Z, Ashkenazi R.;1978;Psychopharmacology (Berl);Changes in brain catecholamine turnover and receptor sensitivity induced by social deprivation in rats.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8985;P;474790;Henning SJ, Chang SS, Gisel EG.;1979;Am J Physiol;Ontogeny of feeding controls in suckling and weanling rats.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8986;P;476083;Jackson JB, Pollock JM Jr, Rill RL.;1979;Biochemistry;Chromatin fractionation procedure that yields nucleosomes containing near-stoichiometric amounts of high mobility group nonhistone chromosomal proteins.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8987;P;477618;Yamanouchi K, Arai Y.;1979;Endocrinol Jpn;Effects of hypothalamic deafferentation on hormonal facilitation of lordosis in ovariectomized rats.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8988;P;488531;Codo W, Carlini EA.;1979;Dev Psychobiol;Postnatal undernutrition in rats: attempts to develop alternative methods to food deprive pups without maternal behavioral alteration.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8989;P;500636;Lutton JK, Frederich RC Jr, Perkins JP.;1979;J Biol Chem;Isolation of adenylate cyclase-enriched membranes from mammalian cells using concanavalin A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8990;P;547557;Nouhouayi Y, Coujard R, Négulesco I.;1979;Z Mikrosk Anat Forsch;[Behavior of the superior cervical ganglion after total isolation of its contralateral homologue].;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9003;P;552076;Dunlap JL, Zadina JE, Gougis G.;1978;Physiol Behav;Prenatal stress interacts with prepuberal social isolation to reduce male copulatory behavior.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8991;P;553483;Speranza V, Mennini G.;1979;Ann Ist Super Sanita;[Anaerobic infections in surgery].;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5000;W;558619;"YOSHIMURA, H; UEKI, S";1977;PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR;BIOCHEMICAL CORRELATES IN MOUSE-KILLING BEHAVIOR OF RAT - PROLONGED ISOLATION AND BRAIN CHOLINERGIC FUNCTION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5002;W;561971;"SAHAKIAN, BJ; ROBBINS, TW";1977;PHYSIOLOGY & BEHAVIOR;ISOLATION-REARING ENHANCES TAIL PINCH-INDUCED ORAL BEHAVIOR IN RATS;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9033;P;562156;Kessler S, Elliott GR, Orenberg EK, Barchas JD.;1977;Behav Genet;A genetic analysis of aggressive behavior in two strains of mice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9034;P;562744;Kurischko A, Oettel M.;1977;Endokrinologie;Androgen-dependent fighting behaviour in male mice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9035;P;562773;Zharkovskiĭ AM.;1977;Farmakol Toksikol;[Effect of amantadine on the emotional reactivity and agressiveness of rats and mice].;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9036;P;562937;Hefco V, Rotinberg P.;1977;J Physiol (Paris);Feeding behaviour in rats with isolated medial hypothalamus as a function of ambient temperature.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9004;P;563333;Buus Lassen J.;1978;Eur J Pharmacol;Piperoxane reduces the effects of clonidine on aggression in mice and on noradrenaline dependent hypermotility in rats.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9037;P;564584;Busnel RG, Lehmann A.;1977;Z Tierpsychol;Acoustic signals in mouse maternal behavior: retrieving and cannibalism.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9005;P;565999;Poshivalov VP.;1978;Zh Vyssh Nerv Deiat Im I P Pavlova;[Relationship between the sequelae of zoosocial isolation and individual characteristics of the animal].;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9006;P;566471;Ackerman SH, Hofer MA, Weiner H.;1978;Science;Early maternal separation increases gastric ulcer risk in rats by producing a latent thermoregulatory disturbance.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9007;P;566935;Malick JG.;1978;Pharmacol Biochem Behav;Inhibition of fighting in isolated mice following repeated administration of lithium chloride.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9008;P;570242;Pashev IG, Nencheva MM, Markov GG.;1978;Mol Biol Rep;Denaturation of mouse satellite DNA upon melting of chromatin in solution.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9009;P;570285;Powell DA, Buchanan SL.;1978;Psychol Rep;Comparison of several aggression models in Long-Evans (hooded) rats: effects of sex and isolation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8992;P;571055;Valzelli L, Bernasconi S.;1979;Neuropsychobiology;Aggressiveness by isolation and brain serotonin turnover changes in different strains of mice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8993;P;572378;de Catanzaro D, Gorzalka BB.;1979;J Comp Physiol Psychol;Isolation-induced facilitation of male sexual behavior in mice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8994;P;573220;Swanberg KM, Wilson JR.;1979;Dev Psychobiol;Genetic and ethanol-related differences in maternal behavior and offspring viability in mice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4996;W;573361;"GOMITA, Y; UEKI, S";1979;LIFE SCIENCES;EFFECTS OF LONG-TERM ISOLATION ON AGGRESSIVE-BEHAVIOR AND EXCITABILITY OF THE RAT WITH OLFACTORY BULBECTOMY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8996;P;573527;Poshivalov VP, Khod'ko ST.;1979;Zh Vyssh Nerv Deiat Im I P Pavlova;[Probabilities and ethologic analysis of the zoosocial behavior of grouped and isolated mice].;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9010;P;580202;Rücker G, Tautges J, Sieck A, Wenzl H, Graf E.;1978;Arzneimittelforschung;[Isolation and pharmacodynamic activity of the sesquiterpene valeranone from Nardostachys jatamansi DC].;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5001;W;609614;HANSEN, S;1977;PHYSIOLOGY & BEHAVIOR;MOUNTING BEHAVIOR AND RECEPTIVE BEHAVIOR IN DEVELOPING FEMALE RATS AND EFFECT OF SOCIAL-ISOLATION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9011;P;621210;Prusiner SB.;1978;J Biol Chem;An approach to the isolation of biological particles using sedimentation analysis.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9012;P;627636;Campbell RA, Raskin LA.;1978;J Comp Physiol Psychol;Ontogeny of behavioral arousal: the role of environmental stimuli.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9013;P;631434;Hansen S, Larsson K, Carlsson SG, Sourander P.;1978;Dev Psychobiol;The development of sexual behavior in the rat: role of preadult nutrition and environmental conditions.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9014;P;631435;File SE.;1978;Dev Psychobiol;Exploration, distraction, and habituation in rats reared in isolation.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9015;P;639905;Diaz J, Ellison G, Masouka D.;1978;Exp Brain Res;Stages of recovery from central norepinephrine lesions in enriched and impoverished environments: a behavioral and biochemical study.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9016;P;640229;Verhaeghe A, Noirot E.;1978;Dev Psychobiol;Ultrasound by mouse pups from deaf and hearing strains.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9017;P;658601;Schenck PE, Slob AK, van der Werff ten Bosch JJ.;1978;Dev Psychobiol;Locomotor activity and social behavior of old rats after preweaning undernutrition.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9018;P;659318;Pedersen NC, Emmons RW, Selcer R, Woodie JD, Holliday TA, Weiss M.;1978;J Am Vet Med Assoc;Rabies vaccine virus infection in three dogs.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9019;P;669059;Wehmer F, Jen KL.;1978;Dev Psychobiol;The effects of litter size during gestation and lactation on rat development prior to weaning.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9020;P;669576;Arndt R, Schlaak HE, Uschtrin D, Südi D, Michelssen K, Jungle W.;1978;Hoppe Seylers Z Physiol Chem;Investigations on the functional role of rat liver carboxylesterase isoenzymes.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4998;W;689298;"HOFER, MA; SHAIR, H";1978;DEVELOPMENTAL PSYCHOBIOLOGY;ULTRASONIC VOCALIZATION DURING SOCIAL-INTERACTION AND ISOLATION IN 2-WEEK-OLD RATS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9022;P;689853;Morinan A.;1978;Ir J Med Sci;Social isolation in the young rat: neurochemical correlates of chronic amphetamine treatment.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9023;P;694538;Smith GJ, Spear NE.;1978;Science;Effects of the home environment on withholding behaviors and conditioning in infant and neonatal rats.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4999;W;710833;"ACKERMAN, SH; HOFER, MA; WEINER, H";1978;GASTROENTEROLOGY;PREDISPOSITION TO GASTRIC-EROSIONS IN RAT - BEHAVIORAL AND NUTRITIONAL EFFECTS OF EARLY MATERNAL SEPARATION;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8997;P;760196;Fleming A, Vaccarino F, Tambosso L, Chee P.;1979;Science;Vomeronasal and olfactory system modulation of maternal behavior in the rat.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9050;P;781382;Norgaard JO.;1976;Kidney Int;A new method for the isolation of ultrastructurally preserved glomeruli.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9086;P;812107;Hefco V, Rotinberg P, Iluc E.;1975;Physiologie;Feeding behavior in the rat with isolated medial hypothalamus.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
